Price,Year,Kilometer,Seating Capacity,Fuel Tank Capacity,Make,Model,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain
894999.0,2018.0,21365.0,5.0,37.0,Maruti Suzuki,Baleno Alpha Automatic,Petrol,Automatic,Bangalore,Grey,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD
699000.0,2020.0,30777.0,5.0,32.0,Maruti Suzuki,Wagon R ZXi 1.2 AMT,Petrol,Automatic,Bangalore,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD
740000.0,2016.0,60125.0,5.0,60.0,Hyundai,Creta 1.6 E Petrol,Petrol,Manual,Delhi,Silver,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD
470000.0,2020.0,2169.0,5.0,27.0,Maruti Suzuki,S-Presso VXi AMT,Petrol,Automatic,Mumbai,Grey,First,Individual,998 cc,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD
765000.0,2015.0,60240.0,5.0,55.0,Volkswagen,Vento Comfortline Petrol AT,Petrol,Automatic,Bangalore,Brown,First,Individual,1197 cc,103 bhp @ 5000 rpm,153 Nm @ 3800 rpm,FWD
589000.0,2018.0,13772.0,5.0,35.0,Hyundai,Santro Sportz AMT [2018-2020],Petrol,Automatic,Bangalore,White,First,Individual,1086 cc,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,FWD
999000.0,2019.0,27464.0,5.0,45.0,Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],Petrol,Manual,Bangalore,Blue,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD
370000.0,2019.0,47377.0,5.0,60.0,Maruti Suzuki,Alto LXi CNG,CNG,Manual,Delhi,Grey,First,Individual,998 cc,58 bhp @ 6000 rpm,78 Nm @ 3500 rpm,FWD
325000.0,2013.0,23086.0,5.0,43.0,Maruti Suzuki,Ritz Zxi BS-IV,Petrol,Manual,Mumbai,Grey,First,Individual,1197 cc,85 bhp @ 6000 rpm,113 Nm @ 4500 rpm,FWD
1175000.0,2019.0,36313.0,5.0,60.0,Hyundai,Creta 1.6 SX Plus Petrol,Petrol,Manual,Mumbai,Grey,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD
351000.0,2014.0,39276.0,5.0,35.0,Honda,Brio V MT,Petrol,Manual,Mumbai,Red,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD
551000.0,2015.0,47752.0,5.0,45.0,Hyundai,Elite i20 Asta 1.2,Petrol,Manual,Mumbai,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
819999.0,2018.0,27963.0,5.0,40.0,Honda,WR-V VX MT Petrol,Petrol,Manual,Delhi,White,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD
990000.0,2020.0,24013.0,5.0,45.0,Hyundai,Venue SX 1.0 Turbo iMT,Petrol,Manual,Mumbai,Blue,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD
925000.0,2016.0,66000.0,5.0,60.0,Hyundai,Creta 1.6 SX Plus AT,Diesel,Automatic,Raipur,Black,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD
535000.0,2015.0,28000.0,5.0,52.0,Ford,Ecosport Titanium+ 1.0L EcoBoost,Petrol,Manual,Mumbai,Silver,First,Individual,999 cc,124 bhp @ 6000 rpm,170 Nm @ 1400 rpm,FWD
860000.0,2013.0,67000.0,5.0,10.0,Honda,CR-V 2.4 AT,Petrol,Automatic,Mumbai,Brown,First,Individual,0,0,0,0
145000.0,2009.0,72000.0,5.0,35.0,Hyundai,Santro GL (CNG),CNG,Manual,Kanpur,Silver,Second,Individual,1086 cc,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD
409000.0,2018.0,27069.0,5.0,35.0,Tata,Tiago Revotron XE [2016-2019],Petrol,Manual,Mumbai,White,First,Individual,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD
490000.0,2018.0,43000.0,5.0,35.0,Tata,Tigor Revotorq XT,Diesel,Manual,Patna,White,First,Individual,1047 cc,69 bhp @ 4000 rpm,140 Nm @ 1800 rpm,FWD
1900000.0,2019.0,71000.0,5.0,55.0,Toyota,Innova 2.4 G 8 STR [2016-2017],Diesel,Manual,Mumbai,Bronze,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD
3850000.0,2017.0,45600.0,5.0,66.0,Mercedes-Benz,GLC 220 d Progressive,Diesel,Automatic,Mumbai,Black,Second,Individual,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,AWD
1125000.0,2018.0,60000.0,5.0,55.0,Hyundai,Creta SX 1.6 CRDi (O),Diesel,Manual,Patna,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD
2300000.0,2014.0,105101.0,5.0,70.0,Mercedes-Benz,M-Class ML 250 CDI,Diesel,Automatic,Vadodara,White,First,Individual,2143 cc,203 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD
1095000.0,2016.0,45000.0,5.0,55.0,Toyota,Corolla Altis VL AT Petrol,Petrol,Automatic,Mumbai,Black,First,Individual,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD
1575000.0,2013.0,66000.0,5.0,63.0,Audi,A4 2.0 TDI (177bhp) Premium Plus,Diesel,Automatic,Hyderabad,White,First,Individual,1968 cc,177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,FWD
2400000.0,2010.0,34105.0,5.0,70.0,Mercedes-Benz,SLK-Class SLK 200 K,Petrol,Automatic,Mumbai,Grey,First,Individual,1796 cc,165@5500,240@3000,RWD
525000.0,2015.0,68397.0,5.0,45.0,Hyundai,Elite i20 Asta 1.2,Petrol,Manual,Patna,Gold,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
625000.0,2015.0,65000.0,5.0,60.0,Mahindra,Thar CRDe 4x4 AC,Diesel,Manual,Yamunanagar,White,Second,Individual,2498 cc,105 bhp @ 3800 rpm,247 Nm @ 1800 rpm,AWD
605000.0,2019.0,27469.0,5.0,37.0,Maruti Suzuki,Baleno Delta 1.2,Petrol,Manual,Delhi,Silver,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
412000.0,2016.0,41058.0,5.0,35.0,Maruti Suzuki,Celerio VXi AMT,Petrol,Automatic,Delhi,Silver,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD
625000.0,2016.0,51330.0,5.0,43.0,Maruti Suzuki,Ciaz VDi SHVS,Diesel,Manual,Mumbai,Brown,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
511000.0,2015.0,45969.0,5.0,43.0,Maruti Suzuki,Ciaz VXi,Petrol,Manual,Mumbai,Silver,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD
1150000.0,2017.0,66602.0,5.0,60.0,Hyundai,Creta SX Plus 1.6 AT CRDI,Diesel,Automatic,Mumbai,Grey,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD
885000.0,2016.0,57983.0,5.0,60.0,Hyundai,Creta SX Plus 1.6  Petrol,Petrol,Manual,Mumbai,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD
470000.0,2019.0,11183.0,5.0,28.0,Renault,Kwid 1.0 RXT AMT Opt,Petrol,Automatic,Mumbai,Silver,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD
1611000.0,2019.0,46301.0,5.0,60.0,MG,Hector Sharp 2.0 Diesel [2019-2020],Diesel,Manual,Mumbai,White,First,Individual,1956 cc,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD
475000.0,2017.0,34867.0,5.0,35.0,Tata,Tiago Revotron XZA [2017-2019],Petrol,Automatic,Mumbai,Silver,Second,Individual,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD
865000.0,2015.0,43634.0,5.0,55.0,Toyota,Innova 2.5 GX BS IV 7 STR,Diesel,Manual,Delhi,Silver,First,Individual,2494 cc,101 bhp @ 3600 rpm,200 Nm @ 1200 rpm,RWD
3800000.0,2018.0,9512.0,5.0,67.0,BMW,X3 xDrive 20d Luxury Line [2018-2020],Diesel,Automatic,Mumbai,Blue,First,Corporate,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD
2475000.0,2020.0,11293.0,5.0,60.0,Jeep,Compass Limited Plus 2.0 Diesel 4x4 AT,Diesel,Automatic,Mumbai,White,First,Individual,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,AWD
400000.0,2014.0,78000.0,5.0,60.0,Mahindra,Scorpio SLE BS-IV,Diesel,Manual,Gurgaon,White,Second,Individual,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD
440000.0,2016.0,50374.0,5.0,35.0,Honda,Brio S MT,Petrol,Manual,Vadodara,White,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD
2800000.0,2017.0,15900.0,5.0,57.0,BMW,3-Series 320i Luxury Line,Petrol,Automatic,Delhi,White,First,Individual,1998 cc,181 bhp @ 5000 rpm,270 Nm @ 1350 rpm,RWD
645000.0,2017.0,64000.0,5.0,40.0,Honda,City V Petrol [2017-2019],Petrol,Manual,Mumbai,White,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD
365000.0,2013.0,78000.0,5.0,45.0,Volkswagen,Polo Highline1.2L (D),Diesel,Manual,Jaipur,Silver,First,Individual,1199 cc,74 bhp @ 4200 rpm,180 Nm @ 2000 rpm,FWD
1044999.0,2021.0,24000.0,5.0,48.0,Maruti Suzuki,Vitara Brezza ZXi Plus,Petrol,Manual,Mumbai,Silver,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD
515000.0,2019.0,40310.0,5.0,40.0,Maruti Suzuki,Eeco 7 STR [2019-2020],Petrol,Manual,Pune,Grey,Second,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD
455000.0,2015.0,69700.0,5.0,43.0,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],Petrol,Automatic,Mumbai,Blue,First,Individual,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD
1800000.0,2012.0,74073.0,5.0,67.0,BMW,X3 xDrive20d,Diesel,Automatic,Hyderabad,Black,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,AWD
3499000.0,2019.0,73000.0,5.0,80.0,Toyota,Fortuner 2.8 4x2 AT [2016-2020],Diesel,Automatic,Mumbai,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD
190000.0,2006.5,130000.0,5.0,50.0,Honda,Civic 1.8S MT,Petrol,Manual,Deoghar,Maroon,Third,Individual,1799 cc,130 bhp @ 6300 rpm,171.62 Nm @ 4300 rpm,FWD
1250000.0,2012.0,50000.0,5.0,10.0,Audi,A4 2.0 TDI (143 bhp),Diesel,Automatic,Mumbai,White,First,Individual,0,0,0,0
775000.0,2021.0,24000.0,5.0,37.0,Maruti Suzuki,Swift ZXi Plus AMT,Petrol,Automatic,Agra,Grey,First,Individual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD
825000.0,2021.0,43000.0,5.0,37.0,Hyundai,Elite i20 Sportz 1.5 MT Diesel,Diesel,Manual,Agra,White,First,Individual,1493 cc,99 bhp @ 4000 rpm,240 Nm @ 1500 rpm,FWD
2250000.0,2016.0,40500.0,5.0,50.0,Audi,A3 35 TDI Technology + Sunroof,Diesel,Automatic,Goa,White,First,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD
865000.0,2017.0,49013.0,5.0,40.0,Honda,City V CVT Petrol [2017-2019],Petrol,Automatic,Mumbai,Grey,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD
299000.0,2013.0,64983.0,5.0,45.0,Ford,Figo Duratorq Diesel Titanium 1.4,Diesel,Manual,Mumbai,Red,First,Individual,1399 cc,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD
570000.0,2017.0,92270.0,5.0,40.0,Honda,Jazz VX Petrol,Petrol,Manual,Mumbai,Brown,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD
385000.0,2013.0,65000.0,5.0,45.0,Volkswagen,Polo Highline1.2L (P),Petrol,Manual,Mumbai,White,First,Individual,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD
350000.0,2014.0,110000.0,5.0,35.0,Honda,Amaze 1.5 SX i-DTEC,Diesel,Manual,Warangal,Black,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD
2345000.0,2017.0,47000.0,5.0,70.0,Toyota,Camry 2.5L AT,Petrol,Automatic,Delhi,Brown,First,Individual,2494 cc,179 bhp @ 6000 rpm,233 Nm @ 4100 rpm,FWD
1650000.0,2022.0,10000.0,5.0,57.0,Mahindra,Thar LX 4-STR Hard Top Petrol AT,Petrol,Automatic,Jalandhar,Black,First,Individual,1997 cc,150 bhp @ 5000 rpm,320 Nm @ 1500 rpm,AWD
1100000.0,2011.0,51500.0,5.0,66.0,Mercedes-Benz,C-Class 250 CDI Elegance,Diesel,Automatic,Hyderabad,Black,Second,Individual,2143 cc,207@4200,500@1600,RWD
2900000.0,2018.0,35000.0,5.0,64.0,Audi,Q3 35 TDI quattro Premium Plus,Diesel,Automatic,Pune,White,First,Individual,1968 cc,184 bhp @ 3500 rpm,380 Nm @ 1750 rpm,AWD
545000.0,2017.0,61518.0,5.0,37.0,Maruti Suzuki,Baleno Sigma 1.2,Petrol,Manual,Noida,Red,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
2990000.0,2018.0,34000.0,5.0,63.0,BMW,X1 sDrive20d xLine,Diesel,Automatic,Delhi,White,First,Corporate,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD
615000.0,2017.0,36058.0,5.0,37.0,Maruti Suzuki,Baleno Zeta 1.2,Petrol,Manual,Mumbai,Silver,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
890000.0,2016.0,88000.0,5.0,60.0,Hyundai,Creta 1.6 SX Plus AT,Diesel,Automatic,Ahmedabad,Silver,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD
430000.0,2015.0,98112.0,5.0,55.0,Volkswagen,Vento Comfortline Petrol,Petrol,Manual,Mumbai,Brown,First,Individual,1598 cc,103 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD
1650000.0,2013.0,58000.0,5.0,66.0,Mercedes-Benz,C-Class 220 BlueEfficiency,Diesel,Automatic,Bangalore,Silver,First,Individual,2143 cc,170 bhp @ 4200 rpm,400 Nm @ 2800 rpm,RWD
1599000.0,2015.0,92355.0,5.0,65.0,Toyota,Camry Hybrid,Petrol,Automatic,Mumbai,Silver,First,Individual,2494 cc,202 bhp @ 5700 rpm,270 Nm @ 4500 rpm,FWD
691000.0,2019.0,16652.0,5.0,37.0,Maruti Suzuki,DZire VXi,Petrol,Manual,Ahmedabad,White,First,Individual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD
650000.0,2016.0,76584.0,5.0,50.0,Nissan,Terrano XV D THP 110 PS,Diesel,Manual,Mumbai,White,First,Individual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD
415000.0,2015.0,42500.0,5.0,35.0,Maruti Suzuki,Wagon R LXI CNG,CNG,Manual,Mumbai,Brown,First,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD
669000.0,2016.0,70000.0,5.0,48.0,Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],Diesel,Manual,Mohali,Grey,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
2950000.0,2015.0,84700.0,5.0,10.0,BMW,X5 xDrive30d Pure Experience (5 Seater),Diesel,Automatic,Navi Mumbai,Black,Second,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD
3900000.0,2018.0,83400.0,5.0,10.0,Mercedes-Benz,GLC 220 d Sport,Diesel,Automatic,Hyderabad,White,Second,Individual,0,0,0,0
4085001.5,2022.0,2766.0,5.0,75.0,Porsche,Cayenne Coupe Platinum Edition,Petrol,Automatic,Mumbai,Blue,First,Individual,2995 cc,335 bhp @ 5300 rpm,450 Nm @ 1340 rpm,AWD
4085001.5,2017.0,56000.0,5.0,59.0,Mercedes-Benz,C-Class Cabriolet C 300,Petrol,Automatic,Ghaziabad,White,Second,Individual,1991 cc,241 bhp @ 5500 rpm,370 Nm @ 1300 rpm,RWD
525000.0,2015.0,68766.0,5.0,45.0,Hyundai,Elite i20 Magna 1.2,Petrol,Manual,Mumbai,Silver,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
750000.0,2018.0,16339.0,5.0,43.0,Hyundai,Verna 1.6 VTVT SX,Petrol,Manual,Kolkata,Black,First,Individual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD
445000.0,2016.0,63882.0,5.0,35.0,Honda,Amaze 1.2 SX i-VTEC,Petrol,Manual,Mumbai,Bronze,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD
493000.0,2012.0,28732.0,5.0,55.0,Toyota,Corolla Altis 1.8 G,Petrol,Manual,Zirakpur,Silver,First,Individual,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD
611000.0,2017.0,51349.0,5.0,45.0,Hyundai,Elite i20 Sportz 1.2 (O),Petrol,Manual,Nagpur,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
475000.0,2014.0,61866.0,5.0,43.0,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],Petrol,Automatic,Thane,White,First,Individual,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD
925000.0,2017.0,29401.0,5.0,60.0,Hyundai,Creta SX Plus 1.6  Petrol,Petrol,Manual,Mumbai,Grey,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD
1325000.0,2012.0,98580.0,5.0,65.0,Audi,A6 2.0 TDI Premium,Diesel,Automatic,Goa,White,First,Individual,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,FWD
3900000.0,2021.0,8000.0,5.0,63.0,BMW,X1 sDrive20d xLine,Diesel,Automatic,Delhi,Black,First,Individual,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD
1299000.0,2020.0,31348.0,5.0,42.0,Mahindra,XUV300 W8 (O) 1.5 Diesel,Diesel,Manual,Bangalore,White,First,Individual,1497 cc,115 bhp @ 3750 rpm,300 Nm @ 1500 rpm,FWD
580000.0,2018.0,28851.0,5.0,37.0,Maruti Suzuki,Swift ZDi Plus,Diesel,Manual,Kolkata,Blue,First,Corporate,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
229000.0,2013.0,38175.0,5.0,10.0,Honda,Brio S MT,Petrol,Manual,Kolkata,Blue,First,Individual,0,0,0,0
1575000.0,2021.0,8519.0,5.0,57.0,Mahindra,Thar LX 4-STR Hard Top Petrol MT,Petrol,Manual,Mumbai,Blue,First,Individual,1997 cc,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD
375000.0,2011.0,78000.0,5.0,42.0,Honda,City 1.5 S MT,Petrol,Manual,Pune,Bronze,First,Individual,1497 cc,118@6600,146@4600,FWD
2250000.0,2015.0,48000.0,5.0,80.0,Mercedes-Benz,E-Class E 250 CDI Avantgarde,Diesel,Automatic,Mumbai,White,First,Individual,2143 cc,204 bhp @ 4200 rpm,500 Nm @ 1600 rpm,RWD
1400000.0,2014.0,136500.0,5.0,80.0,Toyota,Fortuner 3.0 4x2 AT,Diesel,Automatic,Faridabad,White,Second,Individual,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD
425000.0,2017.0,39000.0,5.0,44.0,Tata,Zest XM 75 PS Diesel,Diesel,Manual,Ranchi,Silver,First,Commercial Registration,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD
425000.0,2014.0,24000.0,5.0,55.0,Skoda,Rapid Ambition 1.6 MPI AT Plus,Petrol,Automatic,Mumbai,Beige,Second,Individual,1598 cc,104 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD
250000.0,2015.0,62000.0,5.0,35.0,Maruti Suzuki,Alto 800 Lxi,Petrol,Manual,Kanpur,Maroon,Second,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD
425000.0,2012.0,78000.0,5.0,45.0,Maruti Suzuki,Ertiga VDi,Diesel,Manual,Jalandhar,White,Second,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
120000.0,2009.0,48500.0,5.0,35.0,Hyundai,Santro GL LPG,LPG,Manual,Lucknow,Grey,Fourth,Individual,1086 cc,63@5500,89@3000,0
235000.0,2014.0,82000.0,5.0,45.0,Ford,Figo Duratorq Diesel ZXI 1.4,Diesel,Manual,Ludhiana,White,Second,Individual,1399 cc,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD
3050000.0,2020.0,40910.0,5.0,50.0,Audi,A3 35 TDI Technology + Sunroof,Diesel,Automatic,Bangalore,White,First,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD
2145000.0,2020.0,10290.0,5.0,50.0,Tata,Harrier XZ Plus,Diesel,Manual,Bangalore,Red,First,Individual,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD
1245000.0,2021.0,10530.0,5.0,37.0,Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,Petrol,Automatic,Bangalore,Red,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD
549000.0,2015.0,61900.0,5.0,45.0,Hyundai,Elite i20 Asta 1.2,Petrol,Manual,Gurgaon,Silver,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
484999.0,2013.0,78000.0,5.0,45.0,Volkswagen,Polo Highline1.2L (D),Diesel,Manual,Bangalore,White,Second,Individual,1199 cc,74 bhp @ 4200 rpm,180 Nm @ 2000 rpm,FWD
415000.0,2014.0,57402.0,5.0,42.0,Maruti Suzuki,Swift DZire VXI,Petrol,Manual,Delhi,Grey,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
200000.0,2013.0,57000.0,5.0,35.0,Hyundai,Santro GL (CNG),CNG,Manual,Kanpur,White,First,Individual,1086 cc,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD
375000.0,2015.0,87500.0,5.0,43.0,Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],Petrol,Manual,Gurgaon,Grey,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
